label,x_org,y_org,z_org,x_sim,y_sim,z_sim,error,distance,method
82,733063.4375,4050926.5,2460.734619140625,733076.125,4050923,2460.60595703125,13.162036703656042,332.80092666203524,Proposed Method
27,733268.125,4051173.5,2396.4677734375,733276.875,4051177.5,2397.0966796875,9.641474112981326,537.1799492270375,Proposed Method
83,733063.5,4051065,2424.11376953125,733070.5,4051069.75,2423.809814453125,8.464921068120953,332.7102887355135,Proposed Method
56,734070.3125,4050736.5,2908.74951171875,734076.25,4050731.5,2911.991943359375,8.412328405033064,1339.3064336232135,Proposed Method
15,733115.375,4051353,2381.436279296875,733119.9375,4051359.75,2382.1435546875,8.17796702904724,384.2378226381457,Proposed Method
44,734069.3125,4051078.25,2767.480224609375,734062.4375,4051077.5,2763.47509765625,7.9918187486108785,1338.231526093912,Proposed Method
51,733712.375,4050959,2666.354248046875,733706.0625,4050960.25,2662.1396484375,7.692399243236397,981.3768574696232,Proposed Method
25,733286.1875,4051310,2408.98828125,733290.625,4051315,2410.795166015625,6.925044317998818,555.1064509398175,Proposed Method
36,733924.1875,4051197.75,2678.750732421875,733918,4051199.25,2676.354736328125,6.802643128318967,1193.0837813933388,Proposed Method
50,733219.5,4051094.25,2393.100341796875,733224.75,4051098,2392.478515625,6.481640825287122,488.6449627881199,Proposed Method
77,733081.375,4050954.75,2443.7666015625,733087.0625,4050957.75,2444.09326171875,6.438506279229777,350.7037553597587,Proposed Method
29,733635.125,4051295.25,2546.497802734375,733630.125,4051298.25,2543.893798828125,6.385987499499608,904.0073383674857,Proposed Method
75,733660.875,4050375.5,2683.740234375,733655.875,4050376.75,2681.0224609375,5.826559229732464,930.1813131807288,Proposed Method
8,733888.875,4051809.75,2581.301025390625,733884.3125,4051807,2579.376953125,5.664005679141514,1157.545880127267,Proposed Method
41,734024.1875,4051431.75,2646.974853515625,734019.5625,4051432.75,2643.96337890625,5.608886192722251,1293.013606000623,Proposed Method
17,733180.3125,4051332.75,2391.682373046875,733182,4051337.75,2393.27001953125,5.510742019850711,449.2062892293508,Proposed Method
60,733967.4375,4050702.25,2842.38427734375,733970.9375,4050700,2845.890625,5.4412290786631905,1236.471615981906,Proposed Method
69,733467.25,4050732,2555.369140625,733464.5625,4050736.25,2553.919189453125,5.233308193754853,736.4819708311773,Proposed Method
24,733195.5625,4051284.5,2393.060791015625,733196,4051289.25,2394.861083984375,5.098525377335165,464.51023198120663,Proposed Method
12,733936.8125,4051663,2564.86669921875,733940,4051664.25,2568.53857421875,5.0204902415625705,1205.564149457436,Proposed Method
