,u,v,x,y,z
0,3284,593,734264.6875,4050784.25,2986.05615234375
6,2123,727,734484.9375,4051253.0,2984.87841796875
15,1364,962,734402.1875,4051629.25,2839.48193359375
16,4665,968,733782.9375,4050478.5,2727.311279296875
18,1309,978,734408.0,4051616.25,2843.15380859375
20,1284,982,734398.25,4051638.0,2836.76953125
22,993,991,734336.125,4051725.5,2818.96826171875
23,3739,584,734136.9375,4050605.5,2942.483642578125
25,2804,626,734371.3125,4050972.75,3000.3662109375
29,2047,724,734492.5625,4051309.0,2983.962646484375
31,1793,752,734502.4375,4051425.25,2971.27978515625
33,58,876,734270.5625,4052090.25,2832.57470703125
36,1461,920,734437.9375,4051559.25,2877.0947265625
38,751,955,734291.4375,4051812.75,2822.142822265625
39,1341,971,734408.0,4051616.25,2843.15380859375
41,5144,1009,733714.3125,4050375.25,2702.444091796875
42,4976,1025,733734.75,4050410.25,2700.624267578125
43,3626,539,734195.875,4050660.5,2992.748779296875
46,2933,636,734358.125,4050918.25,2991.88916015625
50,2127,727,734476.5625,4051270.5,2978.883544921875
56,3622,540,734195.4375,4050662.0,2991.4091796875
59,3316,601,734275.625,4050766.5,2987.119384765625
60,3802,617,734128.9375,4050613.25,2939.623291015625
61,2809,629,734368.125,4050974.5,2997.628173828125
63,2888,633,734375.8125,4050933.75,2998.81640625
64,3034,632,734327.0625,4050879.5,2986.147216796875
68,1835,729,734536.75,4051411.75,2992.32373046875
69,1726,783,734486.4375,4051453.75,2952.1123046875
72,4630,952,733790.8125,4050487.0,2734.60791015625
73,864,960,734300.1875,4051758.75,2821.652099609375
74,880,964,734300.1875,4051758.75,2821.652099609375
75,1003,996,734333.8125,4051725.25,2817.67822265625
76,4800,1014,733761.6875,4050449.5,2710.021240234375
78,2804,631,734368.125,4050974.5,2997.628173828125
81,3030,634,734325.8125,4050880.0,2984.911376953125
88,849,961,734298.0625,4051757.5,2820.407470703125
89,991,996,734329.875,4051726.0,2816.374755859375
91,4448,869,733834.0,4050518.75,2769.63037109375
