vegetation,var,f1-score,precision,recall
Macro Average,mean,0.986,0.984,0.988
Macro Average,sd,(0.006),(0.010),(0.001)
Weighted Average,mean,0.997,0.997,0.997
Weighted Average,sd,(0.001),(0.001),(0.001)
Dwarf Pine,mean,0.987,0.980,0.994
Dwarf Pine,sd,(0.004),(0.010),(0.003)
Dwarf Bamboo,mean,0.962,0.964,0.961
Dwarf Bamboo,sd,(0.010),(0.020),(0.004)
Other vegetation,mean,0.998,0.999,0.997
Other vegetation,sd,(0.001),(0.000),(0.002)
Non Vegetation,mean,0.978,0.972,0.985
Non Vegetation,sd,(0.028),(0.053),(0.004)
Sky,mean,1.000,1.000,1.000
Sky,sd,(0.000),(0.000),(0.000)
