vegetation,var,f1-score,precision,recall
Macro Average,mean,0.982,0.977,0.987
Macro Average,sd,(0.005),(0.008),(0.001)
Weighted Average,mean,0.997,0.997,0.997
Weighted Average,sd,(0.001),(0.001),(0.001)
Dwarf Pine,mean,0.986,0.977,0.995
Dwarf Pine,sd,(0.005),(0.012),(0.003)
Dwarf Bamboo,mean,0.955,0.951,0.960
Dwarf Bamboo,sd,(0.004),(0.013),(0.006)
Other vegetation,mean,0.997,0.999,0.996
Other vegetation,sd,(0.001),(0.000),(0.002)
Non Vegetation,mean,0.970,0.959,0.984
Non Vegetation,sd,(0.034),(0.066),(0.004)
Sky,mean,1.000,1.000,1.000
Sky,sd,(0.000),(0.000),(0.000)
