vegetation,index,date,band,value
Dwarf Bamboo,0,2015-08-25,R,158
Dwarf Bamboo,0,2015-08-25,G,171
Dwarf Bamboo,0,2015-08-25,B,111
Dwarf Bamboo,0,2015-09-05,R,149
Dwarf Bamboo,0,2015-09-05,G,158
Dwarf Bamboo,0,2015-09-05,B,105
Dwarf Bamboo,0,2015-09-12,R,173
Dwarf Bamboo,0,2015-09-12,G,175
Dwarf Bamboo,0,2015-09-12,B,99
Dwarf Bamboo,0,2015-09-20,R,181
Dwarf Bamboo,0,2015-09-20,G,170
Dwarf Bamboo,0,2015-09-20,B,103
Dwarf Bamboo,0,2015-09-26,R,165
Dwarf Bamboo,0,2015-09-26,G,161
Dwarf Bamboo,0,2015-09-26,B,113
Dwarf Bamboo,0,2015-10-03,R,177
Dwarf Bamboo,0,2015-10-03,G,174
Dwarf Bamboo,0,2015-10-03,B,117
Dwarf Bamboo,0,2015-10-10,R,159
Dwarf Bamboo,0,2015-10-10,G,156
Dwarf Bamboo,0,2015-10-10,B,110
Dwarf Bamboo,1,2015-08-25,R,166
Dwarf Bamboo,1,2015-08-25,G,177
Dwarf Bamboo,1,2015-08-25,B,125
Dwarf Bamboo,1,2015-09-05,R,163
Dwarf Bamboo,1,2015-09-05,G,175
Dwarf Bamboo,1,2015-09-05,B,129
Dwarf Bamboo,1,2015-09-12,R,153
Dwarf Bamboo,1,2015-09-12,G,166
Dwarf Bamboo,1,2015-09-12,B,113
Dwarf Bamboo,1,2015-09-20,R,156
Dwarf Bamboo,1,2015-09-20,G,166
Dwarf Bamboo,1,2015-09-20,B,123
Dwarf Bamboo,1,2015-09-26,R,165
Dwarf Bamboo,1,2015-09-26,G,173
Dwarf Bamboo,1,2015-09-26,B,124
Dwarf Bamboo,1,2015-10-03,R,166
Dwarf Bamboo,1,2015-10-03,G,175
Dwarf Bamboo,1,2015-10-03,B,138
Dwarf Bamboo,1,2015-10-10,R,167
Dwarf Bamboo,1,2015-10-10,G,167
Dwarf Bamboo,1,2015-10-10,B,125
