,metrics,vegetation,value,fold
0,precision,ササ群落,0.9892328398384926,0
1,recall,ササ群落,0.9633495145631068,0
2,f1-score,ササ群落,0.9761196232261873,0
3,support,ササ群落,20600.0,0
4,precision,裸地等,0.8616145557322028,0
5,recall,裸地等,0.9995081967213115,0
6,f1-score,裸地等,0.9254529930746608,0
7,support,裸地等,24400.0,0
8,precision,その他植生,0.9991197651556448,0
9,recall,その他植生,0.9939290313349549,0
10,f1-score,その他植生,0.9965176388228401,0
11,support,その他植生,698900.0,0
12,precision,空,0.9999874152099772,0
13,recall,空,1.0,0
14,f1-score,空,0.9999937075653942,0
15,support,空,397300.0,0
16,precision,コケモモ-ハイマツ群集,0.9856290826469752,0
17,recall,コケモモ-ハイマツ群集,0.9929613733905579,0
18,f1-score,コケモモ-ハイマツ群集,0.9892816419612315,0
19,support,コケモモ-ハイマツ群集,34950.0,0
20,precision,macro avg,0.9671167317166585,0
21,recall,macro avg,0.9899496232019862,0
22,f1-score,macro avg,0.9774731209300628,0
23,support,macro avg,1176150.0,0
24,precision,weighted avg,0.9959861684557707,0
25,recall,weighted avg,0.9955311822471623,0
26,f1-score,weighted avg,0.9956452735153172,0
27,support,weighted avg,1176150.0,0
0,precision,ササ群落,0.9850916861302986,1
1,recall,ササ群落,0.9622815533980582,1
2,f1-score,ササ群落,0.9735530290008102,1
3,support,ササ群落,20600.0,1
4,precision,裸地等,0.9944692091794618,1
5,recall,裸地等,0.9874590163934426,1
6,f1-score,裸地等,0.9909517150612815,1
7,support,裸地等,24400.0,1
8,precision,その他植生,0.9985898673531409,1
9,recall,その他植生,0.9991257065178507,1
10,f1-score,その他植生,0.9988577150725104,1
11,support,その他植生,698850.0,1
12,precision,空,1.0,1
13,recall,空,1.0,1
14,f1-score,空,1.0,1
15,support,空,397350.0,1
16,precision,コケモモ-ハイマツ群集,0.9850669997728821,1
17,recall,コケモモ-ハイマツ群集,0.9927896995708154,1
18,f1-score,コケモモ-ハイマツ群集,0.9889132727220908,1
19,support,コケモモ-ハイマツ群集,34950.0,1
20,precision,macro avg,0.9926435524871566,1
21,recall,macro avg,0.9883311951760334,1
22,f1-score,macro avg,0.9904551463713386,1
23,support,macro avg,1176150.0,1
24,precision,weighted avg,0.9983425225354485,1
25,recall,weighted avg,0.9983454491348892,1
26,f1-score,weighted avg,0.9983408981039604,1
27,support,weighted avg,1176150.0,1
0,precision,ササ群落,0.9850916861302986,2
1,recall,ササ群落,0.9622815533980582,2
2,f1-score,ササ群落,0.9735530290008102,2
3,support,ササ群落,20600.0,2
4,precision,裸地等,0.9944692091794618,2
5,recall,裸地等,0.9874590163934426,2
6,f1-score,裸地等,0.9909517150612815,2
7,support,裸地等,24400.0,2
8,precision,その他植生,0.9985898673531409,2
9,recall,その他植生,0.9991257065178507,2
10,f1-score,その他植生,0.9988577150725104,2
